x-axis,1
second,Volt
-450.00000E-06,+763.81908730E-03
-449.93134E-06,+746.56668779E-03
-449.86267E-06,+758.12288172E-03
-449.79401E-06,+752.26289336E-03
-449.72534E-06,+752.42667614E-03
-449.65668E-06,+757.95909894E-03
-449.58801E-06,+743.71858500E-03
-449.51935E-06,+743.88236778E-03
-449.45068E-06,+761.13476729E-03
-449.38202E-06,+734.68292830E-03
-449.31335E-06,+747.05803613E-03
-449.24469E-06,+763.81908730E-03
-449.17603E-06,+757.79531616E-03
-449.10736E-06,+743.71858500E-03
-449.03870E-06,+743.71858500E-03
-448.97003E-06,+743.71858500E-03
-448.90137E-06,+758.45044728E-03
-448.83270E-06,+751.93532781E-03
-448.76404E-06,+743.71858500E-03
-448.69537E-06,+756.09369283E-03
-448.62671E-06,+780.58013847E-03
-448.55804E-06,+763.32773896E-03
-448.48938E-06,+746.07533945E-03
-448.42072E-06,+758.61423006E-03
-448.35205E-06,+751.77154503E-03
-448.28339E-06,+743.71858500E-03
-448.21472E-06,+743.71858500E-03
-448.14606E-06,+747.22181891E-03
-448.07739E-06,+763.81908730E-03
-448.00873E-06,+763.81908730E-03
-447.94006E-06,+763.81908730E-03
-447.87140E-06,+751.60776225E-03
-447.80273E-06,+762.44502952E-03
-447.73407E-06,+770.88935065E-03
-447.66541E-06,+747.38560168E-03
-447.59674E-06,+763.00017340E-03
-447.52808E-06,+745.74777389E-03
-447.45941E-06,+758.94179562E-03
-447.39075E-06,+763.81908730E-03
-447.32208E-06,+754.29208226E-03
-447.25342E-06,+743.71858500E-03
-447.18475E-06,+739.88778554E-03
-447.11609E-06,+724.60077938E-03
-447.04742E-06,+741.85317889E-03
-446.97876E-06,+759.10557840E-03
-446.91010E-06,+763.81908730E-03
-446.84143E-06,+754.12829948E-03
-446.77277E-06,+743.71858500E-03
-446.70410E-06,+743.71858500E-03
-446.63544E-06,+744.86506445E-03
-446.56677E-06,+762.11746396E-03
-446.49811E-06,+763.81908730E-03
-446.42944E-06,+763.81908730E-03
-446.36078E-06,+763.81908730E-03
-446.29211E-06,+756.81261949E-03
-446.22345E-06,+743.71858500E-03
-446.15479E-06,+745.02884723E-03
-446.08612E-06,+762.28124674E-03
-446.01746E-06,+748.10452834E-03
-445.94879E-06,+756.58504117E-03
-445.88013E-06,+763.81908730E-03
-445.81146E-06,+770.98933789E-03
-445.74280E-06,+775.27529399E-03
-445.67413E-06,+743.71858500E-03
-445.60547E-06,+743.71858500E-03
-445.53680E-06,+743.71858500E-03
-445.46814E-06,+756.74882395E-03
-445.39948E-06,+763.81908730E-03
-445.33081E-06,+756.48505393E-03
-445.26215E-06,+748.20451558E-03
-445.19348E-06,+762.18125950E-03
-445.12482E-06,+744.92885999E-03
-445.05615E-06,+759.76070951E-03
-444.98749E-06,+750.62506557E-03
-444.91882E-06,+743.71858500E-03
-444.85016E-06,+743.71858500E-03
-444.78149E-06,+743.71858500E-03
-444.71283E-06,+743.71858500E-03
-444.64417E-06,+743.71858500E-03
-444.57550E-06,+743.71858500E-03
-444.50684E-06,+757.07638950E-03
-444.43817E-06,+763.81908730E-03
-444.36951E-06,+763.81908730E-03
-444.30084E-06,+763.81908730E-03
-444.23218E-06,+761.85369394E-03
-444.16351E-06,+744.60129444E-03
-444.09485E-06,+760.08827507E-03
-444.02618E-06,+750.29750001E-03
-443.95752E-06,+733.04510050E-03
-443.88885E-06,+731.44346441E-03
-443.82019E-06,+748.69586392E-03
-443.75153E-06,+763.81908730E-03
-443.68286E-06,+763.81908730E-03
-443.61420E-06,+747.28561444E-03
-443.54553E-06,+757.40395506E-03
-443.47687E-06,+752.98182002E-03
-443.40820E-06,+751.70774949E-03
-443.33954E-06,+758.67802560E-03
-443.27087E-06,+743.71858500E-03
-443.20221E-06,+743.71858500E-03
-443.13354E-06,+743.71858500E-03
-443.06488E-06,+743.71858500E-03
-442.99622E-06,+743.71858500E-03
-442.92755E-06,+743.71858500E-03
-442.85889E-06,+749.02342948E-03
-442.79022E-06,+763.81908730E-03
-442.72156E-06,+763.81908730E-03
-442.65289E-06,+763.81908730E-03
-442.58423E-06,+749.80615167E-03
-442.51556E-06,+743.71858500E-03
-442.44690E-06,+743.71858500E-03
-442.37823E-06,+749.18721226E-03
-442.30957E-06,+761.19856283E-03
-442.24091E-06,+743.94616332E-03
-442.17224E-06,+760.74340619E-03
-442.10358E-06,+749.64236889E-03
-442.03491E-06,+743.71858500E-03
-441.96625E-06,+743.71858500E-03
-441.89758E-06,+749.35099504E-03
-441.82892E-06,+761.03478005E-03
-441.76025E-06,+743.78238054E-03
-441.69159E-06,+778.09579294E-03
-441.62292E-06,+755.23858723E-03
-441.55426E-06,+755.21098339E-03
-441.48560E-06,+755.17479169E-03
-441.41693E-06,+749.51477782E-03
-441.34827E-06,+760.87099727E-03
-441.27960E-06,+743.81857224E-03
-441.21094E-06,+761.07097175E-03
-441.14227E-06,+749.31480334E-03
-441.07361E-06,+743.71858500E-03
-441.00494E-06,+752.52666338E-03
-440.93628E-06,+757.85911170E-03
-440.86761E-06,+749.94233061E-03
-440.79895E-06,+783.39204956E-03
-440.73029E-06,+748.88725054E-03
-440.66162E-06,+758.38665174E-03
-440.59296E-06,+751.99912335E-03
-440.52429E-06,+752.69044616E-03
-440.45563E-06,+757.69532892E-03
-440.38696E-06,+746.99424059E-03
-440.31830E-06,+763.81908730E-03
-440.24963E-06,+763.81908730E-03
-440.18097E-06,+748.98723778E-03
-440.11230E-06,+743.71858500E-03
-440.04364E-06,+743.71858500E-03
-439.97498E-06,+750.00612615E-03
-439.90631E-06,+763.81908730E-03
-439.83765E-06,+763.22775172E-03
-439.76898E-06,+745.97535221E-03
-439.70032E-06,+743.71858500E-03
-439.63165E-06,+743.71858500E-03
-439.56299E-06,+743.71858500E-03
-439.49432E-06,+750.16990893E-03
-439.42566E-06,+760.21586615E-03
-439.35699E-06,+744.47370336E-03
-439.28833E-06,+761.72610287E-03
-439.21967E-06,+763.81908730E-03
-439.15100E-06,+751.50777501E-03
-439.08234E-06,+743.71858500E-03
-439.01367E-06,+743.71858500E-03
-438.94501E-06,+747.48558892E-03
-438.87634E-06,+762.90018616E-03
-438.80768E-06,+745.64778665E-03
-438.73901E-06,+743.71858500E-03
-438.67035E-06,+756.19368007E-03
-438.60168E-06,+754.19209502E-03
-438.53302E-06,+750.49747449E-03
-438.46436E-06,+759.88830059E-03
-438.39569E-06,+744.80126892E-03
-438.32703E-06,+762.05366842E-03
